;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,26%;0,32%;-%;-%;-%;-%;-%;-%;-%
Div;0.82;0.61;;;;;;;
P/L;30.52;23.09;23.59;18.9;25.23;1.47;26.9;23.64;57.8
PEG Ratio;0,96;-;-;-;-;-;-;-;-
P/VP;9,80;7,11;6,14;4,43;7,62;0,27;4,59;4,09;4,80
EV/EBITDA;72,31;16,58;16,97;12,28;17,36;-1,03;17,54;16,82;19,01
EV/EBIT;115,59;18,70;19,33;14,59;19,74;-1,32;23,58;22,35;24,03
P/EBITDA;73,57;17,11;17,82;13,37;18,59;0,96;20,08;19,88;22,12
P/EBIT;117,61;19,29;20,31;15,89;21,14;1,23;26,99;26,40;27,96
VPA;32,06;26,62;22,74;19,93;19,00;329,00;292,08;255,41;219,49
P/Ativo;7,07;5,13;4,33;3,10;5,34;0,19;3,35;3,12;3,71
LPA;10.3;8.2;5.92;4.67;5.74;59.53;49.8;44.19;18.22
P/SR;9,84;6,60;5,66;4,01;7,45;0,32;5,71;5,31;6,60
P/Cap. Giro;50,97;30,99;19,40;11,87;15,48;0,50;8,60;7,19;7,31
P/Ativo Circ. Liq.;-10,46;-8,07;-7,54;-5,66;-11,21;-0,41;-7,49;-7,48;-10,03
Dív. líquida/PL;-0,20;-0,26;-0,35;-0,39;-0,50;-0,55;-0,57;-0,59;-0,64
Dív. líquida/EBITDA;-1,49;-0,63;-1,01;-1,17;-1,21;-1,99;-2,50;-2,88;-2,96
Dív. líquida/EBIT;-2,38;-0,71;-1,16;-1,39;-1,38;-2,55;-3,36;-3,82;-3,74
PL/Ativos;0,72;0,72;0,70;0,70;0,70;0,70;0,73;0,76;0,77
Passivos/Ativos;0,28;0,28;0,30;0,30;0,30;0,30;0,27;0,24;0,23
Liq. corrente;1,75;1,84;2,10;2,38;2,93;3,07;3,37;3,92;5,14
M. Bruta;14,49%;58,20%;56,63%;55,38%;56,94%;53,58%;55,58%;56,48%;58,88%
M. EBITDA;13,37%;38,61%;31,77%;29,98%;40,05%;33,85%;28,43%;26,72%;29,85%
M. EBIT;8,36%;34,23%;27,89%;25,22%;35,22%;26,34%;21,15%;20,12%;23,61%
M. Líquida;32,23%;28,60%;24,01%;21,20%;29,51%;22,06%;21,22%;22,46%;11,42%
ROE;32,12%;30,80%;26,04%;23,41%;30,22%;18,09%;17,05%;17,30%;8,30%
ROA;23,16%;22,24%;18,34%;16,42%;21,16%;12,60%;12,45%;13,20%;6,42%
ROIC;1,11%;29,80%;24,99%;22,14%;28,54%;17,03%;14,05%;12,85%;7,44%
Giro ativos;0,72;0,78;0,76;0,77;0,72;0,57;0,59;0,59;0,56
CAGR Receitas 5 anos;16,68%;17,57%;20,60%;23,34%;19,47%;19,65%;19,77%;19,21%;18,95%
CAGR Lucros 5 anos;23,86%;19,15%;36,49%;31,31%;20,54%;19,43%;19,27%;3,35%;14,87%
